Unnamed: 0,rating,review,Processed_Review,Sentiment
0,5,nice,nice,POSITIVE
1,5,"best biryani , so supportive staff of outlet , personalize my order on call as I say. full Paisa vasool ",best biryani supportive staff outlet personalize order call say full paisa vasool,POSITIVE
2,4,delivery boy was very decent and supportive.👌👍,delivery boy decent supportive,POSITIVE
3,1,"worst biryani i have tasted in my life, half of the biryani is in dustbin. ",worst biryani tasted life half biryani dustbin,NEGATIVE
4,5,all food is good and tasty . will order again and lots more to explore in bawarchi's menu. ,food good tasty order lot explore bawarchi menu,POSITIVE
5,5,shandar zabardast zindabad .. good going bawarchi keep it up ,shandar zabardast zindabad good going bawarchi keep,POSITIVE
6,5,overall good experience . will order again,overall good experience order,POSITIVE
7,1,good but cold of food,good cold food,POSITIVE
8,5,tasty food . homestyle tasty prepration. ,tasty food homestyle tasty prepration,NEUTRAL
9,5,loved it . 5/5 . ,loved,POSITIVE
10,4,"full paisa vasool , taste me best Bawarchi aur Everest . .. ",full paisa vasool taste best bawarchi aur everest,POSITIVE
11,5,"good taste , authentic punjabi style matar paneer . feels good to have such food in surat .",good taste authentic punjabi style matar paneer feel good food surat,POSITIVE
12,5,very tasty authentic food .. ,tasty authentic food,NEUTRAL
13,5,superb tasty asli dilli wala flavour,superb tasty asli dilli wala flavour,POSITIVE
14,5,yummiest manchurian fried rice i have ever had in city . authentic chinese taste. must order once ,yummiest manchurian fried rice ever city authentic chinese taste must order,NEUTRAL
15,5,veey tasty. . order again nd again,veey tasty order nd,NEUTRAL
16,1,i have ordered Manchurian fried rice but instead I got only simple fried rice. Feeling like I am cheated by bawarchi restaurant.,ordered manchurian fried rice instead got simple fried rice feeling like cheated bawarchi restaurant,NEGATIVE
17,1,very bad not properly cooked,bad properly cooked,NEGATIVE
18,5,delicious ,delicious,POSITIVE
19,5,chinese cheese kulcha . good fusion of chinsese with punjabi cuisine.  accomplish with dal makhni and yummy butter milk must order ,chinese cheese kulcha good fusion chinsese punjabi cuisine accomplish dal makhni yummy butter milk must order,POSITIVE
20,5,"tasteis best , zabardast mouthwatering . must order again ",tasteis best zabardast mouthwatering must order,POSITIVE
21,1,Taste less nd took 55 min to deliver the order,taste less nd took min deliver order,NEUTRAL
22,5,I have tried a lot of dishes from bawarchi and choosing the best between them is a really tough task as All dishes are AWESOME.,tried lot dish bawarchi choosing best really tough task dish awesome,POSITIVE
23,5,bawarchi satisfied there customer needs🤩,bawarchi satisfied customer need,POSITIVE
24,5,Too Helping nature of resturent owners,helping nature resturent owner,POSITIVE
25,5,"i have tried many items from bawarchi , these ppl never disappoint me ..keep it up ",tried many item bawarchi ppl never disappoint keep,POSITIVE
26,5,"Awesome experience guys...these people really care about their customer satisfaction...try and order, I am sure u will love the taste...",awesome experience guy people really care customer satisfaction try order sure u love taste,POSITIVE
27,5,Something good for cocktail party... As the restaurant has mentioned... Good... Quantity was good too... Lage raho ,something good cocktail party restaurant mentioned good quantity good lage raho,POSITIVE
28,5,superb taste really supreme thali in taste and quantity,superb taste really supreme thali taste quantity,POSITIVE
29,5,Free pizza was not given to me. Pizza hut does fraud till customer's condition is fulfilled.,free pizza given pizza hut fraud till customer condition fulfilled,POSITIVE
30,3,its good ,good,POSITIVE
31,1,"free san francisco margarita pizza, for orders above 799  was not delivered, though order was above 1000.   ",free san francisco margarita pizza order delivered though order,POSITIVE
32,1,pizza base is not baked properly... it's not crunchy..... then la pinos s pizza is baked properly,pizza base baked properly crunchy la pinos pizza baked properly,NEUTRAL
33,5,Good experience.,good experience,POSITIVE
34,2,On time!,time,NEUTRAL
35,5,Very bad. Waste of money Pizza Hut no more like before very bad quality,bad waste money pizza hut like bad quality,NEGATIVE
36,5,pizza got cold........waste of money ,pizza got cold waste money,NEGATIVE
37,5,rotten pizza,rotten pizza,NEGATIVE
38,1,"had ordered a mushroom and corn pizza, got only a corn one",ordered mushroom corn pizza got corn one,NEUTRAL
39,1,mast,mast,NEUTRAL
40,2,food is not hot,food hot,NEUTRAL
41,1,osm,osm,NEUTRAL
42,1,no topping they have served only bread,topping served bread,NEUTRAL
